id_resep,nama_resep,daftar_bahan,waktu_masak,kategori,list_bahan,vector_bahan
R0001,ayam goreng serabut,"ayam, garam, kunyit, jahe, kemiri, bawang putih, lengkuas, ketumbar, pala",90,ayam,"['kemiri', 'pala', 'jahe', 'bawang putih', 'ketumbar', 'lengkuas', 'ayam', 'garam', 'kunyit']","[0.  0.  0.  0.  0.  3.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.
 0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.1 0.  0.  1.5 0.  0.  1.5
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]"
R0002,ayam lada hitam,"ayam, bawang putih, kecap ikan, saos tiram, minyak wijen, garam, lada, telur, tepung terigu, tepung maizena",45,ayam,"['saos tiram', 'kecap ikan', 'lada', 'tepung terigu', 'minyak wijen', 'tepung maizena', 'bawang putih', 'telur', 'ayam', 'garam']","[0.  0.  0.  0.  0.  3.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.9 0.  0.9 0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]"
R0003,opor ayam,"ayam, air, daun salam, garam, bawang merah, bawang putih, kemiri, kunyit, jahe, serai, daun jeruk, santan, gula pasir, minyak goreng, bawang goreng",60,ayam,"['kemiri', 'daun jeruk', 'serai', 'bawang goreng', 'air', 'jahe', 'gula pasir', 'minyak goreng', 'bawang merah', 'daun salam', 'bawang putih', 'santan', 'ayam', 'garam', 'kunyit']","[0.  0.  0.2 0.  0.  3.  0.  0.  0.  0.  0.2 0.1 0.1 0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.1 0.  0.  0.
 0.1 0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  1.5 0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]"
R0004,tongseng ayam,"ayam, kol, tomat, cabai rawit, daun bawang, bawang merah, bawang putih, daun salam, daun jeruk, serai, lengkuas, gula merah, santan, air, kecap manis, madu, garam, gula pasir, ketumbar, merica, kemiri, jahe, kunyit",60,ayam,"['kemiri', 'daun jeruk', 'bawang putih', 'daun salam', 'air', 'jahe', 'cabai rawit', 'tomat', 'ketumbar', 'ayam', 'merica', 'kecap manis', 'serai', 'gula merah', 'kol', 'bawang merah', 'lengkuas', 'garam', 'daun bawang', 'madu', 'gula pasir', 'santan', 'kunyit']","[0.  0.  0.2 0.  0.  3.  0.  0.  0.  0.  0.  0.1 0.1 0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.
 0.  0.  0.  0.4 1.5 0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.1 0.  0.  0.1
 0.1 0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.2 0.  0.  0.  1.5 0.  0.  0.1 1.5 0.  1.5 0.  0.  1.5
 0.  0.8 0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.
 0.  0.  0.  0.  0. ]"
R0005,ayam asam manis,"ayam, bumbu marinasi, tepung maizena, air, saos tomat, kecap asin, cuka, gula pasir, lada, garam, cabai hijau, bawang bombay",30,ayam,"['kecap asin', 'bawang bombay', 'cabai hijau', 'saos tomat', 'air', 'bumbu marinasi', 'lada', 'tepung maizena', 'gula pasir', 'cuka', 'ayam', 'garam']","[0.  0.  0.2 0.  0.  3.  0.  0.  0.  0.4 0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.  0.  0.
 0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.
 0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.9 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]"
R0006,kalio daging sapi,"daging sapi, santan, air, minyak goreng, kaldu sapi, garam, gula merah, adas wangi, kayu manis, pala, bunga lawang, cengkeh, jinten, kapulaga, kelapa, kemiri, cabai merah, cabai rawit, bawang merah, bawang putih, jahe, lengkuas, daun salam, daun jeruk, serai",150,daging sapi,"['kemiri', 'daun jeruk', 'cengkeh', 'bawang putih', 'daun salam', 'air', 'jahe', 'kapulaga', 'cabai rawit', 'serai', 'gula merah', 'kaldu sapi', 'cabai merah', 'kayu manis', 'jinten', 'bawang merah', 'kelapa', 'lengkuas', 'adas wangi', 'garam', 'bunga lawang', 'pala', 'minyak goreng', 'santan', 'daging sapi']","[0.  1.5 0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.1 0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.1 0.1 0.  1.5 0.  0.
 0.  0.  3.  0.  1.5 0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.1 0.  0.  0.1
 0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.2 0.  1.5
 1.5 0.  0.  0.  0.  0.  1.5 0.  1.5 0.  0.  0.  0.  0.  0.  0.  0.  1.5
 0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]"
R0007,gulai daging,"daging sapi, santan, daun salam, daun kunyit, bawang merah, bawang putih, kemiri, kunyit, jahe, cabai merah, bubuk gulai, lengkuas, serai, daun jeruk, garam, gula, penyedap rasa",90,daging sapi,"['kemiri', 'daun jeruk', 'serai', 'jahe', 'cabai merah', 'bubuk gulai', 'garam', 'penyedap rasa', 'lengkuas', 'gula', 'bawang merah', 'daun salam', 'santan', 'bawang putih', 'daun kunyit', 'daging sapi', 'kunyit']","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.1 0.  0.  0.  0.  0.2
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.  0.
 0.  0.  3.  0.  1.5 0.  1.5 0.  0.  0.  1.5 0.  0.  0.  0.1 0.1 0.  0.
 0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  1.5 0.  0.  1.5
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.
 0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]"
R0008,rawon daging sapi,"daging sapi, bumbu rawon, air, serai, daun jeruk, daun bawang, taoge, telur, jeruk nipis, bawang goreng, minyak goreng",40,daging sapi,"['taoge', 'daun jeruk', 'serai', 'bawang goreng', 'bumbu rawon', 'jeruk nipis', 'air', 'daun bawang', 'minyak goreng', 'telur', 'daging sapi']","[0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  3.  0.4 1.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.
 0.  0.  0.  0.  0.  1.5 0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]"
R0009,sapi lada hitam,"daging sapi, paprika, bawang bombay, kecap manis, kecap asin, lada, tepung maizena, minyak goreng, garam, saos tiram, minyak wijen, saos tomat, kaldu",60,daging sapi,"['paprika', 'kecap manis', 'bawang bombay', 'kecap asin', 'saos tiram', 'kaldu', 'saos tomat', 'tepung maizena', 'garam', 'minyak wijen', 'minyak goreng', 'lada', 'daging sapi']","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.4 0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  3.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.
 0.  0.2 0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.
 0.  0.  0.  0.  0.  0.  0.  0.2 0.2 0.  0.  0.  0.4 0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.2 0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.9 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]"
R0010,rendang,"daging sapi, santan, daun jeruk, daun salam, serai, bumbu rendang, bawang merah, bawang putih, cabai merah, cabai rawit",180,daging sapi,"['daun jeruk', 'serai', 'cabai merah', 'bumbu rendang', 'cabai rawit', 'santan', 'daun salam', 'bawang merah', 'bawang putih', 'daging sapi']","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.1 0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.1 0.1 0.  0.  0.  0.
 0.  0.  3.  0.  1.5 0.  0.  0.  0.  0.  1.5 0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.5 0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0. ]"
